run_key,backbone,model,hidden_layer,task,density,scale,seed,metric,score,mean_density,elapsed_sec
roberta_final|cola|abs06|rms|s2,roberta_final,roberta-base,-1,cola,abs06,rms,2,mcc,53.43,0.99161,128.56
roberta_final|cola|abs06|rms|s3,roberta_final,roberta-base,-1,cola,abs06,rms,3,mcc,51.02,0.9879,128.38
roberta_final|cola|abs06|rms|s4,roberta_final,roberta-base,-1,cola,abs06,rms,4,mcc,54.32,0.98898,127.09
roberta_final|cola|abs06|rms|s5,roberta_final,roberta-base,-1,cola,abs06,rms,5,mcc,50.59,0.99124,127.82
roberta_final|cola|q05|none|s1,roberta_final,roberta-base,-1,cola,q05,none,1,mcc,53.63,0.05138,131.23
roberta_final|cola|q05|none|s2,roberta_final,roberta-base,-1,cola,q05,none,2,mcc,53.51,0.05095,131.79
roberta_final|cola|q05|none|s3,roberta_final,roberta-base,-1,cola,q05,none,3,mcc,51.52,0.05079,134.67
roberta_final|cola|q05|none|s4,roberta_final,roberta-base,-1,cola,q05,none,4,mcc,53.35,0.05109,134.99
roberta_final|cola|q05|none|s5,roberta_final,roberta-base,-1,cola,q05,none,5,mcc,52.2,0.05087,133.35
roberta_final|cola|q05|median|s1,roberta_final,roberta-base,-1,cola,q05,median,1,mcc,53.3,0.05087,132.68
roberta_final|cola|q05|median|s2,roberta_final,roberta-base,-1,cola,q05,median,2,mcc,53.9,0.05166,132.03
roberta_final|cola|q05|median|s3,roberta_final,roberta-base,-1,cola,q05,median,3,mcc,51.23,0.05065,134.62
roberta_final|cola|q05|median|s4,roberta_final,roberta-base,-1,cola,q05,median,4,mcc,53.43,0.05114,133.75
roberta_final|cola|q05|median|s5,roberta_final,roberta-base,-1,cola,q05,median,5,mcc,51.4,0.05116,133.85
roberta_final|cola|q05|rms|s1,roberta_final,roberta-base,-1,cola,q05,rms,1,mcc,53.04,0.05068,133.14
roberta_final|cola|q05|rms|s2,roberta_final,roberta-base,-1,cola,q05,rms,2,mcc,53.87,0.05066,134.05
roberta_final|cola|q05|rms|s3,roberta_final,roberta-base,-1,cola,q05,rms,3,mcc,50.79,0.05093,133.8
roberta_final|cola|q05|rms|s4,roberta_final,roberta-base,-1,cola,q05,rms,4,mcc,53.42,0.05091,221.86
roberta_final|cola|q05|rms|s5,roberta_final,roberta-base,-1,cola,q05,rms,5,mcc,51.4,0.05077,230.0
